CustomerID,MonetaryValue,Frequency,LastInvoiceDate,Recency,R_Quartile,F_Quartile,M_Quartile,RFM_Score,Segment
12346.0,77183.6,1,2011-01-18 10:01:00,325,1,1,5,115,Cannot Lose Them
12347.0,4310.0,7,2011-12-07 15:52:00,1,5,5,5,555,Champions
12348.0,1437.24,4,2011-09-25 13:13:00,74,2,4,4,244,At Risk
12349.0,1457.55,1,2011-11-21 09:51:00,18,4,1,4,414,Promising
12350.0,294.4,1,2011-02-02 16:01:00,309,1,1,2,112,Hibernating
12352.0,1385.74,7,2011-11-03 14:37:00,35,3,5,4,354,Loyal Customers
12353.0,89.0,1,2011-05-19 17:47:00,203,1,1,1,111,Hibernating
12354.0,1079.4,1,2011-04-21 13:11:00,231,1,1,4,114,Cannot Lose Them
12355.0,459.4,1,2011-05-09 13:49:00,213,1,1,2,112,Hibernating
12356.0,2487.43,3,2011-11-17 08:40:00,22,4,3,5,435,Loyal Customers
12357.0,6207.67,1,2011-11-06 16:07:00,32,4,1,5,415,Promising
12358.0,928.0600000000001,2,2011-12-08 10:26:00,1,5,2,4,524,Promising
12359.0,6372.58,4,2011-10-13 12:47:00,57,3,4,5,345,Loyal Customers
12360.0,2302.06,3,2011-10-18 15:22:00,51,3,3,5,335,Loyal Customers
12361.0,174.9,1,2011-02-25 13:51:00,286,1,1,1,111,Hibernating
12362.0,4737.23,10,2011-12-06 15:40:00,2,5,5,5,555,Champions
12363.0,552.0,2,2011-08-22 10:18:00,109,2,2,3,223,At Risk
12364.0,1208.1,4,2011-12-02 10:22:00,7,5,4,4,544,Champions
12365.0,320.69,1,2011-02-21 13:51:00,290,1,1,2,112,Hibernating
12367.0,150.9,1,2011-12-05 16:48:00,3,5,1,1,511,New Customers
12370.0,3425.69,4,2011-10-19 14:51:00,50,3,4,5,345,Loyal Customers
12371.0,1527.96,1,2011-10-11 10:43:00,59,3,1,4,314,Promising
12372.0,1196.04,3,2011-09-29 12:12:00,71,3,3,4,334,334
12373.0,324.6,1,2011-02-01 13:10:00,310,1,1,2,112,Hibernating
12374.0,622.93,1,2011-11-14 15:37:00,24,4,1,3,413,New Customers
12375.0,377.5,2,2011-11-29 10:36:00,10,5,2,2,522,Promising
12377.0,1548.12,2,2011-01-28 15:45:00,314,1,2,4,124,124
12378.0,4008.62,1,2011-08-02 10:34:00,129,2,1,5,215,Cannot Lose Them
12379.0,777.24,2,2011-09-19 10:09:00,81,2,2,3,223,At Risk
12380.0,2427.81,4,2011-11-18 11:27:00,21,4,4,5,445,Champions
12381.0,1474.81,3,2011-12-05 12:44:00,4,5,3,4,534,534
